Frame 104/393, Overlap 0.881, Score 13.280, Time 0.337
Frame 105/393, Overlap 0.882, Score 13.208, Time 0.314
Frame 106/393, Overlap 0.831, Score 14.024, Time 0.302
Frame 107/393, Overlap 0.812, Score 14.308, Time 0.326
Frame 108/393, Overlap 0.877, Score 13.378, Time 0.302
Frame 109/393, Overlap 0.842, Score 14.403, Time 0.316
Frame 110/393, Overlap 0.901, Score 13.634, Time 8.352
Frame 111/393, Overlap 0.877, Score 11.730, Time 0.298
Frame 112/393, Overlap 0.870, Score 11.594, Time 0.314
Frame 113/393, Overlap 0.831, Score 10.588, Time 0.318
Frame 114/393, Overlap 0.829, Score 11.319, Time 0.308
Frame 115/393, Overlap 0.833, Score 11.068, Time 0.308
Frame 116/393, Overlap 0.910, Score 11.736, Time 0.300
Frame 117/393, Overlap 0.883, Score 11.152, Time 0.320
Frame 118/393, Overlap 0.827, Score 9.890, Time 0.319
Frame 119/393, Overlap 0.949, Score 10.512, Time 0.304
Frame 120/393, Overlap 0.853, Score 10.343, Time 8.339
Frame 121/393, Overlap 0.840, Score 12.744, Time 0.322
Frame 122/393, Overlap 0.826, Score 11.065, Time 0.358
Frame 123/393, Overlap 0.939, Score 12.606, Time 0.321
Frame 124/393, Overlap 0.894, Score 11.495, Time 0.321
Frame 125/393, Overlap 0.879, Score 12.109, Time 0.324
Frame 126/393, Overlap 0.879, Score 11.442, Time 0.319
Frame 127/393, Overlap 0.863, Score 11.810, Time 0.309
Frame 128/393, Overlap 0.890, Score 11.347, Time 0.310
Frame 129/393, Overlap 0.823, Score 10.837, Time 0.312
Frame 130/393, Overlap 0.876, Score 12.253, Time 8.483
Frame 131/393, Overlap 0.854, Score 12.740, Time 0.301
Frame 132/393, Overlap 0.871, Score 13.972, Time 0.301
Frame 133/393, Overlap 0.837, Score 13.429, Time 0.299
Frame 134/393, Overlap 0.835, Score 14.722, Time 0.297
Frame 135/393, Overlap 0.835, Score 13.606, Time 0.313
Frame 136/393, Overlap 0.785, Score 11.937, Time 0.318
Frame 137/393, Overlap 0.854, Score 14.159, Time 0.317
Frame 138/393, Overlap 0.871, Score 14.036, Time 0.297
Frame 139/393, Overlap 0.859, Score 13.594, Time 0.290
Frame 140/393, Overlap 0.951, Score 13.878, Time 8.584
Frame 141/393, Overlap 0.856, Score 12.993, Time 0.328
Frame 142/393, Overlap 0.807, Score 14.960, Time 0.311
Frame 143/393, Overlap 0.902, Score 11.972, Time 0.332
Frame 144/393, Overlap 0.905, Score 12.967, Time 0.312
Frame 145/393, Overlap 0.848, Score 13.321, Time 0.307
Frame 146/393, Overlap 0.888, Score 12.920, Time 0.326
Frame 147/393, Overlap 0.933, Score 12.106, Time 0.310
Frame 148/393, Overlap 0.852, Score 12.852, Time 0.335
Frame 149/393, Overlap 0.892, Score 12.462, Time 0.308
Frame 150/393, Overlap 0.891, Score 12.823, Time 8.595
Frame 151/393, Overlap 0.858, Score 14.019, Time 0.303
Frame 152/393, Overlap 0.892, Score 12.655, Time 0.319
Frame 153/393, Overlap 0.889, Score 12.866, Time 0.309
Frame 154/393, Overlap 0.882, Score 11.702, Time 0.307
Frame 155/393, Overlap 0.886, Score 13.165, Time 0.336
Frame 156/393, Overlap 0.898, Score 12.255, Time 0.312
Frame 157/393, Overlap 0.842, Score 13.082, Time 0.317
Frame 158/393, Overlap 0.889, Score 12.489, Time 0.305
Frame 159/393, Overlap 0.906, Score 13.546, Time 0.332
Frame 160/393, Overlap 0.826, Score 14.208, Time 8.870
Frame 161/393, Overlap 0.801, Score 14.890, Time 0.326
Frame 162/393, Overlap 0.854, Score 15.555, Time 0.309
Frame 163/393, Overlap 0.799, Score 16.637, Time 0.339
Frame 164/393, Overlap 0.805, Score 14.727, Time 0.301
Frame 165/393, Overlap 0.892, Score 15.734, Time 0.307
Frame 166/393, Overlap 0.882, Score 16.306, Time 0.323
Frame 167/393, Overlap 0.878, Score 15.824, Time 0.299
Frame 168/393, Overlap 0.838, Score 14.703, Time 0.295
Frame 169/393, Overlap 0.836, Score 15.638, Time 0.295
